Staff_ID,Staff_FName,Staff_LName,Dept,Position,Country,Email,Role,Unhashed_Password,approval_count,Reporting_Manager
130002,Jack,Sim,CEO,MD,Singapore,jack.sim@allinone.com.sg,1,WnehHvrs,0,
140001,Derek,Tan,Sales,Director,Singapore,Derek.Tan@allinone.com.sg,1,8kC3aOqu,0,130002.0
150008,Eric,Loh,Solutioning,Director,Singapore,Eric.Loh@allinone.com.sg,1,ggZE5HAT,0,130002.0
151408,Philip,Lee,Engineering,Director,Singapore,Philip.Lee@allinone.com.sg,1,PCxVpq6Z,0,130002.0
140894,Rahim,Khalid,Sales,Sales Manager,Singapore,Rahim.Khalid@allinone.com.sg,3,R76gbMxr,0,140001.0
140002,Susan,Goh,Sales,Account Manager,Singapore,Susan.Goh@allinone.com.sg,2,VQyn5IH3,0,140894.0
140003,Janice,Chan,Sales,Account Manager,Singapore,Janice.Chan@allinone.com.sg,2,9wZoPHvE,0,140894.0
140004,Mary,Teo,Sales,Account Manager,Singapore,Mary.Teo@allinone.com.sg,2,7QrwLty3,0,140894.0
140015,Oliva,Lim,Sales,Account Manager,Singapore,Oliva.Lim@allinone.com.sg,2,9lhyFlxr,0,140894.0
140025,Emma,Heng,Sales,Account Manager,Singapore,Emma.Heng@allinone.com.sg,2,MBlWTV8D,0,140894.0
140036,Charlotte,Wong,Sales,Account Manager,Singapore,Charlotte.Wong@allinone.com.sg,2,SpD1mZAP,0,140894.0
140078,Amelia,Ong,Sales,Account Manager,Singapore,Amelia.Ong@allinone.com.sg,2,1Rg4FB5e,0,140894.0
140102,Eva,Yong,Sales,Account Manager,Singapore,Eva.Yong@allinone.com.sg,2,tCNSrCfL,0,140894.0
140108,Liam,The,Sales,Account Manager,Singapore,Liam.The@allinone.com.sg,2,c1HpMwxc,0,140894.0
140115,Noah,Ng,Sales,Account Manager,Singapore,Noah.Ng@allinone.com.sg,2,Lr1GzdiG,0,140894.0
140525,Oliver,Tan,Sales,Account Manager,Singapore,Oliver.Tan@allinone.com.sg,2,QSLGa8OQ,0,140894.0
140736,William,Fu,Sales,Account Manager,Singapore,William.Fu@allinone.com.sg,2,5GkfD7PC,0,140894.0
140878,James,Tong,Sales,Account Manager,Singapore,James.Tong@allinone.com.sg,2,Y2TUNoLI,0,140894.0
140008,Jaclyn,Lee,Sales,Sales Manager,Singapore,Jaclyn.Lee@allinone.com.sg,3,cMg2GHQR,0,140001.0
140103,Sophia,Toh,Sales,Sales Manager,Singapore,Sophia.Toh@allinone.com.sg,3,5cNL5uS2,0,140001.0
140879,Siti,Abdullah,Sales,Sales Manager,Singapore,Siti.Abdullah@allinone.com.sg,3,67DtdS7f,0,140001.0
140944,Yee,Lim,Sales,Sales Manager,Singapore,Yee.Lim@allinone.com.sg,3,frWd4aiB,0,140001.0
140923,Ngoc,Trinh,Sales,Account Manager,Vietnam,Ngoc.Trinh@allinone.com.vn,2,cmDeP8jR,0,140944.0
140924,Manoj,Kumar,Sales,Account Manager,Vietnam,Manoj.Kumar@allinone.com.vn,2,DZIynn5W,0,140944.0
140925,Anh,Pham,Sales,Account Manager,Vietnam,Anh.Pham@allinone.com.vn,2,fXHNlnFf,0,140944.0
140926,Somsak,Somsri,Sales,Account Manager,Vietnam,Somsak.Somsri@allinone.com.vn,2,zbLYZ8H1,0,140944.0
150143,John,Lim,Engineering,Senior Engineers,Singapore,John.Lim@allinone.com.sg,2,DIijrSnt,0,151408.0
150065,Noah,Goh,Engineering,Senior Engineers,Singapore,Noah.Goh@allinone.com.sg,2,u7nPRyHh,0,151408.0
150075,Liam,Tan,Engineering,Senior Engineers,Singapore,Liam.Tan@allinone.com.sg,2,NYWV4Kfo,0,151408.0
150076,Oliver,Chan,Engineering,Junior Engineers,Singapore,Oliver.Chan@allinone.com.sg,2,8ZyWCGvM,0,151408.0
150085,Michael,Ng,Engineering,Junior Engineers,Singapore,Michael.Ng@allinone.com.sg,2,idwAXA9J,0,151408.0
150095,Alexander,The,Engineering,Junior Engineers,Singapore,Alexander.The@allinone.com.sg,2,ASGqOGb2,0,151408.0
150096,Ethan,Tan,Engineering,Junior Engineers,Singapore,Ethan.Tan@allinone.com.sg,2,qBQXxkO9,0,151408.0
150115,Jaclyn,Poh,Engineering,Junior Engineers,Singapore,Jaclyn.Poh@allinone.com.sg,2,Sfg1y8Te,0,151408.0
150118,William,Teo,Engineering,Junior Engineers,Singapore,William.Teo@allinone.com.sg,2,mm5DHVth,0,151408.0
150125,Mary,Ma,Engineering,Junior Engineers,Singapore,Mary.Ma@allinone.com.sg,2,rxBigJMb,0,151408.0
150126,Oliva,Lam,Engineering,Junior Engineers,Singapore,Oliva.Lam@allinone.com.sg,2,yXMCBAfj,0,151408.0
150138,Daniel,Fu,Engineering,Junior Engineers,Singapore,Daniel.Fu@allinone.com.sg,2,1yp3X9HC,0,151408.0
150142,James,Lee,Engineering,Junior Engineers,Singapore,James.Lee@allinone.com.sg,2,HZI7KfsV,0,151408.0
150245,Benjamin,Tan,Engineering,Call Centre,Singapore,Benjamin.Tan@allinone.com.sg,2,whV9dg0P,0,151408.0
150148,Jack,Heng,Engineering,Call Centre,Singapore,Jack.Heng@allinone.com.sg,2,cxk17BGv,0,151408.0
150155,Derek,Wong,Engineering,Call Centre,Singapore,Derek.Wong@allinone.com.sg,2,cFV4Li4t,0,151408.0
150162,Jacob,Tong,Engineering,Call Centre,Singapore,Jacob.Tong@allinone.com.sg,2,bsKFI7Am,0,151408.0
150163,Logan,Loh,Engineering,Call Centre,Singapore,Logan.Loh@allinone.com.sg,2,JAdh0lAS,0,151408.0
150165,Jacob,Ming,Engineering,Call Centre,Singapore,Jacob.Ming@allinone.com.sg,2,CoPAoo3i,0,151408.0
150166,James,Fu,Engineering,Call Centre,Singapore,James.Fu@allinone.com.sg,2,jYihwn8W,0,151408.0
150168,John,Fu,Engineering,Call Centre,Singapore,John.Fu@allinone.com.sg,2,1zhqjXIF,0,151408.0
150175,Jack,Tan,Engineering,Call Centre,Singapore,Jack.Tan@allinone.com.sg,2,FaSIXBNS,0,151408.0
150192,Derek,Heng,Engineering,Call Centre,Singapore,Derek.Heng@allinone.com.sg,2,TbXMY8yo,0,151408.0
150193,Benjamin,Wong,Engineering,Call Centre,Singapore,Benjamin.Wong@allinone.com.sg,2,cbmGOenO,0,151408.0
150198,Lucas,Ong,Engineering,Call Centre,Singapore,Lucas.Ong@allinone.com.sg,2,Sv4iAVES,0,151408.0
150205,Ethan,Yong,Engineering,Call Centre,Singapore,Ethan.Yong@allinone.com.sg,2,flPRasXc,0,151408.0
150208,Daniel,Tong,Engineering,Call Centre,Singapore,Daniel.Tong@allinone.com.sg,2,IdrDv2kF,0,151408.0
